Zone Name;Code Alpha;All ranges;Zip code from;Zip code to;;;Zip code from;Zip code to;;;;;;;1;0000
ZONE 1 - VILNIUS;LT;0;3100;3198;;;LT-03100;LT-03100
ZONE 1 - KITI;LT;0;3199;3199;;;LT-03199;LT-03199
ZONE 1 - VILNIUS;LT;0;3200;3232;;;LT-03200;LT-03200
ZONE 1 - KITI;LT;0;3233;3499;;;LT-03233;LT-03233
ZONE 1 - VILNIUS;LT;0;3500;3507;;;LT-03500;LT-03500
ZONE 1 - KITI;LT;0;3508;3599;;;LT-03508;LT-03508
ZONE 1 - VILNIUS;LT;0;3600;3610;;;LT-03600;LT-03600
ZONE 1 - KITI;LT;0;3611;4000;;;LT-03611;LT-03611
ZONE 1 - VILNIUS;LT;0;4001;4003;;;LT-04001;LT-04001
ZONE 1 - KITI;LT;0;4004;4006;;;LT-04004;LT-04004
ZONE 1 - VILNIUS;LT;0;4007;4009;;;LT-04007;LT-04007
ZONE 1 - KITI;LT;0;4010;4012;;;LT-04010;LT-04010
ZONE 1 - VILNIUS;LT;0;4013;4019;;;LT-04013;LT-04013
ZONE 1 - KITI;LT;0;4020;4099;;;LT-04020;LT-04020
ZONE 1 - VILNIUS;LT;0;4100;4111;;;LT-04100;LT-04100
ZONE 1 - VILNIUS;LT;0;4112;4112;;;LT-04112;LT-04112
ZONE 1 - VILNIUS;LT;0;4113;4140;;;LT-04113;LT-04113
ZONE 1 - KITI;LT;0;4141;4199;;;LT-04141;LT-04141
ZONE 1 - VILNIUS;LT;0;4200;4235;;;LT-04200;LT-04200
ZONE 1 - KITI;LT;0;4236;4299;;;LT-04236;LT-04236
ZONE 1 - VILNIUS;LT;0;4300;4352;;;LT-04300;LT-04300
ZONE 1 - KITI;LT;0;4353;4539;;;LT-04353;LT-04353
ZONE 1 - VILNIUS;LT;0;4540;4540;;;LT-04540;LT-04540
ZONE 1 - KITI;LT;0;4541;5000;;;LT-04541;LT-04541
ZONE 1 - VILNIUS;LT;0;5001;5004;;;LT-05001;LT-05001
ZONE 1 - KITI;LT;0;5005;5008;;;LT-05005;LT-05005
ZONE 1 - VILNIUS;LT;0;5009;5011;;;LT-05009;LT-05009
ZONE 1 - KITI;LT;0;5012;5099;;;LT-05012;LT-05012
ZONE 1 - VILNIUS;LT;0;5100;5132;;;LT-05100;LT-05100
ZONE 1 - KITI;LT;0;5133;5199;;;LT-05133;LT-05133
ZONE 1 - VILNIUS;LT;0;5200;5273;;;LT-05200;LT-05200
ZONE 1 - KITI;LT;0;5274;6000;;;LT-05274;LT-05274
ZONE 1 - VILNIUS;LT;0;6001;6009;;;LT-06001;LT-06001
ZONE 1 - KITI;LT;0;6010;6099;;;LT-06010;LT-06010
ZONE 1 - VILNIUS;LT;0;6100;6155;;;LT-06100;LT-06100
ZONE 1 - KITI;LT;0;6156;6199;;;LT-06156;LT-06156
ZONE 1 - VILNIUS;LT;0;6200;6289;;;LT-06200;LT-06200
ZONE 1 - KITI;LT;0;6290;6291;;;LT-06290;LT-06290
ZONE 3 - VISKAS;LT;0;6292;6292;;;LT-06292;LT-06292
ZONE 1 - VILNIUS;LT;0;6293;6299;;;LT-06293;LT-06293
ZONE 1 - VILNIUS;LT;0;6300;6334;;;LT-06300;LT-06300
ZONE 1 - KITI;LT;0;6335;7000;;;LT-06335;LT-06335
ZONE 1 - VILNIUS;LT;0;7001;7008;;;LT-07001;LT-07001
ZONE 1 - KITI;LT;0;7009;7015;;;LT-07009;LT-07009
ZONE 1 - VILNIUS;LT;0;7016;7016;;;LT-07016;LT-07016
ZONE 1 - KITI;LT;0;7017;7099;;;LT-07017;LT-07017
ZONE 1 - VILNIUS;LT;0;7100;7196;;;LT-07100;LT-07100
ZONE 1 - KITI;LT;0;7197;8000;;;LT-07197;LT-07197
ZONE 1 - VILNIUS;LT;0;8001;8009;;;LT-08001;LT-08001
ZONE 1 - KITI;LT;0;8010;8012;;;LT-08010;LT-08010
ZONE 1 - VILNIUS;LT;0;8013;8020;;;LT-08013;LT-08013
ZONE 1 - KITI;LT;0;8021;8099;;;LT-08021;LT-08021
ZONE 1 - VILNIUS;LT;0;8100;8129;;;LT-08100;LT-08100
ZONE 1 - KITI;LT;0;8130;8199;;;LT-08130;LT-08130
ZONE 1 - VILNIUS;LT;0;8200;8298;;;LT-08200;LT-08200
ZONE 1 - KITI;LT;0;8299;8299;;;LT-08299;LT-08299
ZONE 1 - VILNIUS;LT;0;8300;8346;;;LT-08300;LT-08300
ZONE 1 - KITI;LT;0;8347;8399;;;LT-08347;LT-08347
ZONE 1 - VILNIUS;LT;0;8400;8459;;;LT-08400;LT-08400
ZONE 1 - KITI;LT;0;8460;8499;;;LT-08460;LT-08460
ZONE 1 - VILNIUS;LT;0;8500;8501;;;LT-08500;LT-08500
ZONE 1 - KITI;LT;0;8502;8530;;;LT-08502;LT-08502
ZONE 1 - VILNIUS;LT;0;8531;8531;;;LT-08531;LT-08531
ZONE 1 - KITI;LT;0;8532;8659;;;LT-08532;LT-08532
ZONE 1 - VILNIUS;LT;0;8660;8663;;;LT-08660;LT-08660
ZONE 1 - KITI;LT;0;8664;9000;;;LT-08664;LT-08664
ZONE 1 - VILNIUS;LT;0;9001;9021;;;LT-09001;LT-09001
ZONE 1 - KITI;LT;0;9022;9099;;;LT-09022;LT-09022
ZONE 1 - VILNIUS;LT;0;9100;9133;;;LT-09100;LT-09100
ZONE 1 - KITI;LT;0;9134;9199;;;LT-09134;LT-09134
ZONE 1 - VILNIUS;LT;0;9200;9238;;;LT-09200;LT-09200
ZONE 1 - KITI;LT;0;9239;9299;;;LT-09239;LT-09239
ZONE 1 - VILNIUS;LT;0;9300;9322;;;LT-09300;LT-09300
ZONE 1 - KITI;LT;0;9323;9599;;;LT-09323;LT-09323
ZONE 1 - VILNIUS;LT;0;9600;9601;;;LT-09600;LT-09600
ZONE 1 - KITI;LT;0;9602;10000;;;LT-09602;LT-09602
ZONE 1 - VILNIUS;LT;0;10001;10015;;;LT-10001;LT-10001
ZONE 1 - KITI;LT;0;10016;10099;;;LT-10016;LT-10016
ZONE 1 - VILNIUS;LT;0;10100;10115;;;LT-10100;LT-10100
ZONE 1 - KITI;LT;0;10116;10149;;;LT-10116;LT-10116
ZONE 1 - VILNIUS;LT;0;10150;10156;;;LT-10150;LT-10150
ZONE 1 - KITI;LT;0;10157;10199;;;LT-10157;LT-10157
ZONE 1 - VILNIUS;LT;0;10200;10259;;;LT-10200;LT-10200
ZONE 1 - KITI;LT;0;10260;10299;;;LT-10260;LT-10260
ZONE 1 - VILNIUS;LT;0;10300;10326;;;LT-10300;LT-10300
ZONE 1 - KITI;LT;0;10327;11000;;;LT-10327;LT-10327
ZONE 1 - VILNIUS;LT;0;11001;11013;;;LT-11001;LT-11001
ZONE 1 - KITI;LT;0;11014;11099;;;LT-11014;LT-11014
ZONE 1 - VILNIUS;LT;0;11100;11132;;;LT-11100;LT-11100
ZONE 1 - KITI;LT;0;11133;11199;;;LT-11133;LT-11133
ZONE 1 - VILNIUS;LT;0;11200;11235;;;LT-11200;LT-11200
ZONE 3 - VISKAS;LT;0;11236;11237;;;LT-11236;LT-11236
ZONE 1 - VILNIUS;LT;0;11238;11239;;;LT-11238;LT-11238
ZONE 1 - KITI;LT;0;11240;11299;;;LT-11240;LT-11240
