Zone Name;Country Iso;All ranges;Zip code from;Zip code to
ZONE 1- LATVIA;LV;0;LV-1703;LV-1703
ZONE 1- LATVIA;LV;0;LV-1708;LV-1708
ZONE 1- LATVIA;LV;0;LV-1716;LV-1716
ZONE 1- LATVIA;LV;0;LV-1726;LV-1726
ZONE 1- LATVIA;LV;0;LV-1729;LV-1729
ZONE 1- LATVIA;LV;0;LV-1743;LV-1743
ZONE 1- LATVIA;LV;0;LV-1752;LV-1752
ZONE 1- LATVIA;LV;0;LV-1755;LV-1755
ZONE 1- LATVIA;LV;0;LV-1758;LV-1758
ZONE 1- LATVIA;LV;0;LV-1772;LV-1772
ZONE 1- LATVIA;LV;0;LV-1801;LV-1803
ZONE 1- LATVIA;LV;0;LV-1805;LV-1805
ZONE 1- LATVIA;LV;0;LV-1807;LV-1807
ZONE 1- LATVIA;LV;0;LV-1811;LV-1811
ZONE 1- LATVIA;LV;0;LV-1815;LV-1815
ZONE 1- LATVIA;LV;0;LV-1817;LV-1817
ZONE 1- LATVIA;LV;0;LV-1819;LV-1820
ZONE 1- LATVIA;LV;0;LV-1841;LV-1841
ZONE 1- LATVIA;LV;0;LV-1849;LV-1850
ZONE 1- LATVIA;LV;0;LV-1863;LV-1863
ZONE 1- LATVIA;LV;0;LV-1871;LV-1872
ZONE 1- LATVIA;LV;0;LV-1874;LV-1874
ZONE 1- LATVIA;LV;0;LV-1878;LV-1878
ZONE 1- LATVIA;LV;0;LV-1880;LV-1880
ZONE 1- LATVIA;LV;0;LV-1884;LV-1889
ZONE 1- LATVIA;LV;0;LV-1892;LV-1893
ZONE 1- LATVIA;LV;0;LV-1896;LV-1898
ZONE 1- LATVIA;LV;0;LV-1900;LV-1900
ZONE 1- LATVIA;LV;0;LV-1909;LV-1909
ZONE 1- LATVIA;LV;0;LV-1919;LV-1919
ZONE 1- LATVIA;LV;0;LV-1925;LV-1925
ZONE 1- LATVIA;LV;0;LV-1939;LV-1940
ZONE 1- LATVIA;LV;0;LV-1954;LV-1955
ZONE 1- LATVIA;LV;0;LV-1958;LV-1958
ZONE 1- LATVIA;LV;0;LV-1974;LV-1974
ZONE 1- LATVIA;LV;0;LV-1978;LV-1978
ZONE 1- LATVIA;LV;0;LV-1980;LV-1981
ZONE 2- LATVIA;LV;0;LV-2003;LV-2003
ZONE 2- LATVIA;LV;0;LV-2008;LV-2008
ZONE 2- LATVIA;LV;0;LV-2010;LV-2012
ZONE 2- LATVIA;LV;0;LV-2015;LV-2016
ZONE 2- LATVIA;LV;0;LV-2101;LV-2101
ZONE 2- LATVIA;LV;0;LV-2102;LV-2102
ZONE 2- LATVIA;LV;0;LV-2103;LV-2103
ZONE 2- LATVIA;LV;0;LV-2104;LV-2104
ZONE 2- LATVIA;LV;0;LV-2105;LV-2106
ZONE 2- LATVIA;LV;0;LV-2107;LV-2108
ZONE 2- LATVIA;LV;0;LV-2111;LV-2114
ZONE 2- LATVIA;LV;0;LV-2116;LV-2119
ZONE 2- LATVIA;LV;0;LV-2121;LV-2121
ZONE 2- LATVIA;LV;0;LV-2123;LV-2125
ZONE 2- LATVIA;LV;0;LV-2127;LV-2128
ZONE 2- LATVIA;LV;0;LV-2130;LV-2130
ZONE 2- LATVIA;LV;0;LV-2132;LV-2132
ZONE 2- LATVIA;LV;0;LV-2133;LV-2133
ZONE 2- LATVIA;LV;0;LV-2134;LV-2134
ZONE 2- LATVIA;LV;0;LV-2135;LV-2137
ZONE 2- LATVIA;LV;0;LV-2138;LV-2138
ZONE 2- LATVIA;LV;0;LV-2140;LV-2143
ZONE 2- LATVIA;LV;0;LV-2144;LV-2145
ZONE 2- LATVIA;LV;0;LV-2147;LV-2147
ZONE 2- LATVIA;LV;0;LV-2150;LV-2152
ZONE 2- LATVIA;LV;0;LV-2153;LV-2153
ZONE 2- LATVIA;LV;0;LV-2154;LV-2154
ZONE 2- LATVIA;LV;0;LV-2160;LV-2164
ZONE 2- LATVIA;LV;0;LV-2166;LV-2167
ZONE 2- LATVIA;LV;0;LV-2169;LV-2170
ZONE 2- LATVIA;LV;0;LV-3000;LV-3000
ZONE 2- LATVIA;LV;0;LV-3001;LV-3004
ZONE 2- LATVIA;LV;0;LV-3005;LV-3005
ZONE 2- LATVIA;LV;0;LV-3006;LV-3006
ZONE 2- LATVIA;LV;0;LV-3007;LV-3008
ZONE 2- LATVIA;LV;0;LV-3009;LV-3009
ZONE 2- LATVIA;LV;0;LV-3019;LV-3019
ZONE 2- LATVIA;LV;0;LV-3024;LV-3024
ZONE 2- LATVIA;LV;0;LV-3035;LV-3035
ZONE 2- LATVIA;LV;0;LV-3100;LV-3100
ZONE 2- LATVIA;LV;0;LV-3101;LV-3101
ZONE 2- LATVIA;LV;0;LV-3102;LV-3102
ZONE 2- LATVIA;LV;0;LV-3104;LV-3104
ZONE 2- LATVIA;LV;0;LV-3144;LV-3144
ZONE 2- LATVIA;LV;0;LV-3200;LV-3200
ZONE 2- LATVIA;LV;0;LV-3201;LV-3201
ZONE 2- LATVIA;LV;0;LV-3203;LV-3203
ZONE 2- LATVIA;LV;0;LV-3300;LV-3300
ZONE 2- LATVIA;LV;0;LV-3301;LV-3301
ZONE 2- LATVIA;LV;0;LV-3302;LV-3302
ZONE 2- LATVIA;LV;0;LV-3400;LV-3400
ZONE 2- LATVIA;LV;0;LV-3401;LV-3402
ZONE 2- LATVIA;LV;0;LV-3403;LV-3403
ZONE 2- LATVIA;LV;0;LV-3404;LV-3404
ZONE 2- LATVIA;LV;0;LV-3405;LV-3405
ZONE 2- LATVIA;LV;0;LV-3406;LV-3406
ZONE 2- LATVIA;LV;0;LV-3407;LV-3407
ZONE 2- LATVIA;LV;0;LV-3409;LV-3409
